Record,Record.Cathy,Group,Participant,Habitat,Revised.Habitat,Biome1,Biome2,Importance,Why.important...ECOSYSTEM.SERVICE,Habitat.area,Habitat.condition,Mammals,Birds,Reptiles.amphibians,Fish,Invertebrates,Trees,Other.plants,Fungi,Other,Soil.fertility,Soil.intacteness,Water.quantity,Water.quality,Why.changed.habitat...DRIVER,Habitat.area.will,Habitat.condition.will,Measures.needed,Action.and.by.whom,Comments,ES.HAB,ES.POL,ES.AIR,ES.CLI,ES.OCE,ES.WQN,ES.WQL,ES.SOL,ES.HAZ,ES.PST,ES.NRG,ES.FOD,ES.MAT,ES.MED,ES.LRN,ES.EXP,ES.IDE,ES.OPT,ES.WEB,ES.LIV,DIR.ACT,DIR.CC,DIR.IAS,DIR.LUC,DIR.OVR,DIR.POL,IND.CLT,IND.DEM,IND.ECO,IND.GVN,IND.LUC,IND.S.T,ACT.LAND,ACT.SPEC,ACT.AWAR,ACT.ENFORC,ACT.ECON,ACT.PROTECT,ACT.LAWPOL,ACT.RSRCH,ACT.EDUC,ACT.INST
91,132,Orange,77,Shrubs,Shrubland,Shrubland,Grassland,High,Because I am experience with this and I am working through it in my district,Decreased,Deteriorated,Less,No change,Less,No answer,More,Less,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Due to deforestation; overgrazing; forest burning; ant poachingl; human settlement,Decrease,Deteriorate,Yes,Community awareness; afforestation; to make more research; zero grazing; land use planning,to have more workshop with experts so as to share more ideas as well as to read for the other countries on how to manage habitats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0
92,133,Orange,83,Montane forests,Forest - Montane,Forest,Forest,High,"This habitat is important as a source of water (rivers). The forest cover reduces soil erosion and allows rainwater to percolate and stored. It is good source of food for wild animals and birds etc; the forest also helps moderating climatic condition; the habitat is beneficial to human activities done on lower slopes, e.g. agricultural activities",Increased,Improved,More,More,More,No change,More,More,More,More,More,Improved,Improved,Not changed,Not changed,Change in management status has helped the habitat improve,Decrease,Deteriorate,Yes,Strengthening the protection of the habitat; involvement of stakeholders in awareness campaigns could help people know well the importance of this habitat and protect it.,NA,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
93,134,Orange,83,Plantations,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Source of food for people; food for animals / pastures; source of income: selling of crops / produce: avocado, banana, wheat, rice etc",Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Change in climatic condition; change in rainfall pattern; use of fertilisers and pesticides; water pollution; water shortage,Decrease,Deteriorate,Yes,"Land use plans; wise use of agricultural chemicals; wise use of water; conservation of water sources; government, communities and other partners should do this.",NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
94,135,Orange,120,Agricultural lands,Agriculture - Cropland,Agriculture,Agriculture,High,Because of the food security that will be needed to serve the entire population of human and animals to the pastoralizing areas (for the purpose of the agricultural activities for the crops),Decreased,Deteriorated,Less,Less,More,More,More,More,More,More,More,Deteriorated,Deteriorated,Decreased,Deteriorated,"Things changed due to the poor agricultural activities and the climatic change posed by human. Poor agricultural activities, deforestation, the use of pesticicdes, cultivation at the steep land, cliamtic change, e.g. erratic rains, change in temperature, prolonged drought",Decrease,Deteriorate,Yes,"To serve the situation conservation agriculture, e.g.: no use of pesticides, reduce deforestation, the use of mulching to reduce erosion, avoidng the use of industrial fertilizers; these can improve the area condition of the habitat. Stakeholders, governement and people / farmers have to do something",conservation agriculture has to be practical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0
95,136,Orange,120,Plantations,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Is important because these plantations reduce soil erosion, increase food security and improve the O2 circulation which is important for the humans and the animals",Decreased,Deteriorated,More,More,More,More,More,More,More,More,More,Deteriorated,Deteriorated,Decreased,Deteriorated,"The climatic environment has been changed much, poor agricultural activities to the particular area and the use of pesticides",Decrease,Deteriorate,Yes,"Sensitization based on conservation agriculture has to be practical, e.g. mulching, no use of pesticides and others",education to the people / farmers concerning the use of conservation agriculture,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0
96,137,Orange,122,Water bodies,Freshwater,Freshwater,Freshwater,Moderate,Some of wild animal are found on water body so as game often  water is important habitat for animal to survive,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,"Destructon of water source (cutting trees at the source, cultivation around water table); shortage of rainfall; cultivation & irrigation; many water sources are dry ue to the increase of temperature and destruction from humansactivities",Decrease,Deteriorate,Yes,To emphasise of planting trees on water source; educate the community on importnace of conserving water sources; enforce and implement laws that will help to reduce the destruction of the water resources / sources; land use planning (should be used)'; to train community of other ways of tapping water from rainfall (klater trapping technique) and reduce much pressure o water source,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0
97,138,Orange,122,Savannah / shrub,Savannah,Grassland,Grassland,High,"Because it part of my job as wildlife officer (Game Officer), as many wildlife animal in my area are found in these habitats, i.e. Lake Chala area.",Decreased,Deteriorated,Less,No answer,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,"This is because of intereference of human activities on this area, like bush fire, illegal harvesting of trees; climate change, shortage of rainfall, increase of temperature; encroachment",Decrease,Deteriorate,Yes,"Educate community living around the area; restoration of area by planting area; enact and implement law effectively; find alternative sources of income to the community, especially for those locals who depend on charcoal and firewood",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0
98,139,Orange,123,Agricultural lands,Agriculture - Cropland,Agriculture,Agriculture,High,"Support human settlements, infrastructures; habitats for living organisms (animals and plants)",Decreased,Deteriorated,More,More,More,No answer,Less,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Application of pesticides; soil erosion; lack of land use planning; population increased; mining activities; improper farming activities,Decrease,Deteriorate,Yes,Promote land use planning; encourage soil and water conservation; promote rainwater harvesting techniques e.g. terraces; improve farming activities; promote climate smart agriculture; application of farmyard manure,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
99,140,Orange,123,"Plantations (coffee, trees, wheat, avocado)",Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,"Source of energy; climate regulation; provide building materials (timber, poles)",Decreased,Deteriorated,More,More,More,No answer,Less,More,More,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Population increased: there is high demand on exploitation of natural resources; environmental degradation; open land for settlements and agricultural activities,Decrease,Deteriorate,Yes,Encourgae soil and water conservation; promote tree planting (afforestation); awareness creation on environmental issues; encourage use of alternative sources of energy,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0
100,141,Orange,124,Tree plantation (forest plantation),Forest - Planted,Forest,Forest,High,"Plantations are important to our activities because the provide the following: it provides oxygen; it provides building materials, timber, poles and sawdust; it provides food for animals; it provides shelter for some animals",Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,Less,No answer,More,More,No answer,Improved,Decreased,Improved,"Compared to 10 years ago (2008), things have changed because of the increase of the number of people (overpopulation)",Decrease,Deteriorate,Yes,"In order for the area to be improved, the following measures must be taken: to provide education to the people about the effect of overpopulation; family planning",NA,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
101,142,Orange,124,Agroforestry,Agroforestry,Agriculture,Agriculture,High,The habitat is important because it provides the following to the society: provide food for animals; it improves soil intensity; it prevents soil erosion,Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,More,Less,More,More,Deteriorated,Deteriorated,Decreased,Deteriorated,"Compared to 10 years ago (2008), things changed ba=ecause of the bnumber of people in the society (ovverpopulation)",Mixed,Deteriorate,Yes,"In order to improve the area / condition, the following must be taken: provide education to the people about the importance of the Ö.; family planning",NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
102,143,Orange,125,Wildlife (Colobus Monkey),Forest,Forest,Forest,No answer,Tourism issues are actually attracting most of the visitors,Decreased,Deteriorated,More,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Human activities has increased around the mountain,Decrease,Deteriorate,Yes,Conservation education could help within the communities,Collaboration among NGOs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,144,Orange,125,Lowland forest (Rau forest),Forest - Lowland,Forest,Forest,No answer,It is the underground forest spring that help in irrigation of paddy and sugarcane,Decreased,Not changed,Less,More,No answer,No answer,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Human activities,Decrease,Deteriorate,Yes,Plant more trees as deforestation has increased,There is a need for collaboration between Kili stakeholders,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,35,Red,27,Montane forest,Forest - Montane,Forest,Forest,No answer,"It is important because we get water, rain and fresh air",Decreased,Deteriorated,Less,Less,No answer,No answer,More,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,human activities; destruction of environment like cutting trees and livestock keeping,Decrease,Deteriorate,Yes,control of human activities,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,36,Red,9,Montane forest,Forest - Montane,Forest,Forest,High,"Experience of mountain forest; biodiversity for tourists; Again contrast programme to Serengeti, Zanzibar etc",Decreased,Deteriorated,Less,Less,No change,No change,No change,Less,No change,No change,No answer,Deteriorated,Not changed,Decreased,Not changed,Melting of glaciers,Decrease,Deteriorate,Yes,protection of forests to be intensified by government,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,37,Red,33,Montane forest,Forest - Montane,Forest,Forest,High,"It is important for rain attraction, air , especially oxygen to the living organisms; Acting as a living habitat for animals, birds, etc",Mixed,Improved,More,More,More,No change,No change,More,More,No change,More,Improved,Deteriorated,Increased,Deteriorated,The amount of rainfall has been increasing and also the water turbidity has increased,Decrease,Deteriorate,Yes,Education for awareness to the people around; law and enforcement; tree plantation; land use planning,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0
107,38,Red,41,Montane forest,Forest - Montane,Forest,Forest,High,"It provides water to all lower areas / villages / urban; due to extensive use of crew, 6 per tourist, the mountain at a go is clustered with up to more than 200,000 people on the mountain who discrete and therefore pollute the mountain / water and also destroy habitation",Decreased,Deteriorated,No change,No change,No change,No answer,No change,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,The mountain is overpopulated by crew hence environment is destroyed and water polluted,Decrease,Deteriorate,Yes,Deploy conveyor belts at certain routes for carrying the luggage hence reduce number of crew,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,39,Red,8,Montane forest,Forest - Montane,Forest,Forest,High,"The habitat for elephants - our flagship of the entire ecosystem. Water catchment area for the home gardens and savannah, survival of all species",Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Loss of forest cover; population increase; loss of flagship species; conflict increase resulting in resisting killings,Decrease,Deteriorate,Yes,"Introduce non-invasive crops to safeguard the forest and to create symbiosis with the forest to produce natural insecticides, manure and compost. Build a value chain for these food sources from cultivation to harvest, to processing, to consumption",NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
109,40,Red,7,Home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,According to the nature and living; to also compare what is going on in a daily life,Decreased,Deteriorated,No answer,No answer,No answer,No answer,Less,Less,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,No answer,This is because of population and the movement of people and also nature by itself,Increase,Deteriorate,Yes,"Mostly to educate people all about the nature. People who are poor mostry are the more in this problem. Community, government are the ones to be in front to show and teach but also people who know more about nature",In school especially local and being taken to the project while they are young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,41,Red,53,Home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,We all need better food,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,"More storm water issue, GI and managers has need action, we need good water, water is everything",Decrease,Deteriorate,Yes,Law enorcement along the river / sides. Governments need to put more energy and resources on the education for land use and conservation,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
111,42,Red,8,Home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,We are promoting heritage foods from the home gardens to the hospitality sector within the tourism trade to support the sustainability of the home gardens and regular income for the small-scale farmers. Cultural tourism activities. Interaction with tradition and culture. Walking towards a traditional Tanzania cuisine,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Loss of tree cover to open up land to bigger cultivation. Loss of knowledge of heritage foods and introduction of conventional foods; loss of the traditional cultivation methods - permaculture,Decrease,Deteriorate,Yes,"Reintroduce heritage foods and traditional way of farming; bring the foods to the market and hospitality kitchens. Share traditional recipies and add ingredients for Western pallet. Our flagship is the oysternut, keeps tress standing. The cultivation, the processing and the empowerment of this resource is vital",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
112,43,Red,3,Home garden,Agroforestry - Chagga Homegarden,Agriculture,Agroforestry,High,Provide food to the family; provide employment to the family members; save money and time for finding food for the family; provide assurance of having food at any time they are in need of it,Not changed,Improved,More,More,Less,More,No change,More,No change,More,No change,Improved,Not changed,Increased,Improved,"Due to the population growth, wheather changes which caused by different reasons especially carbonoxides from industries, cutting down trees in some people who do not follow the government rules and regulations. Another strong reason is the ignorance of some people who do not follow the advice provided by them by the experts",Decrease,Improve,Yes,More knowledge to be provided to the people; to adhere to the government laws very strictly; the one who should do something is the government officials under their respective miistries,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
113,44,Red,8,Wildlife corridor,Savannah,Grassland,Grassland,High,It is the very last connection to the outside world of sustainable Kili ecosystems. It is the migratory route for Kilimanjaro elephants within the Kilimanjaro - Amboseli ecosystem. If the corridor closes the elephant-human conflict increases and Earth will suffer. There will not be any exchange of biodiversity and gene pools,Decreased,Deteriorated,Less,Less,No answer,No answer,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Encroachment of people into wilderness zones; increase of conflcit; increase of destruction: wood and meat poaching,Decrease,Deteriorate,Yes,"All of us, human kind. Find non invasive crops to be planted for economical use as buffer towards protected areas. Build a model with the tourism sector and introduce payment for ecosystem services by the trade. Marginalized communities to benefit from the protected land, both economically and ecologically through a sustained and balances ecosystem",NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
114,45,Red,8,Savannah,Savannah,Grassland,Grassland,High,Off the beaten track tourism activities; ecotourism activities,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,The loss of the montane forest on the Western side of Kili turnes the savannah into a desert; strong winds from Kili are not being stopped by the loss of grass and trees. Overgrazing is ever present. Erosion is severe,Decrease,Deteriorate,Yes,Environmenal impact studies have to assist tourism and conservation stakeholders to secure various habitats for ecotourism activities as economical resource for the communities and as incentive to reduce lifestock and lifestock activities. Know how in agriculture conservation is very important,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
115,46,Red,9,Savannah,Freshwater - wetland,Freshwater,Freshwater,Moderate,"Important as these areas feed of the mountain in terms of water (rivers, springs) and exchange of biomass; wildlife especially as a distributing factor of seeds (elephants)",Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Not changed,Decreased,Deteriorated,Population growth separating the once connected ecosystems of savannah / swamps from the montane forest areas,Decrease,Deteriorate,Yes,Better land use planning with a closer focus on maintaining biodiversity and wildlife corridors,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
116,47,Red,42,Water,Freshwater,Freshwater,Freshwater,High,Because water important for life and each living things depend on water; no water means no life,Decreased,Deteriorated,No answer,Less,No change,No change,Less,Less,No change,No change,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,Due to human activities such as farming and pesticides; use of different chemicals for agriculture activities; defoorestartion around water sources and bodies,Decrease,Deteriorate,Yes,Make sure that no human activities are conducted around water sources; afforestation to be done around water sources; no use of chemicals near or around water sources; environmental law to be applied in order to conserve the water source. Who: communities living around water sources; government (central or local); beneficiaries,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
117,48,Red,33,Water,Freshwater,Freshwater,Freshwater,High,Domestic purpose; fish,Decreased,Deteriorated,More,More,More,Less,More,Less,Less,Less,Less,Deteriorated,Deteriorated,Decreased,Deteriorated,The amount of water has decreased; human activities,Decrease,Deteriorate,Yes,Education to create awareness; law and enforcement,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
118,49,Red,27,Desert / ice,Alpine - Ice,Rock and ice,Alpine,High,Kilimanjaro is technically the easiest to climb of the seven peaks; Kilimanjaro is one of the world glacier natural wonders; it is a prestige to reach the top but want the ice at the top,Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,"All changes are due to the destruction of the environment done by human activities surrounding the mountain and larger number of people doing the climbing, especially crew who go with the tourist",Decrease,Deteriorate,Yes,We have to take inmediate action to control destruction by human activities; we have to control number of people / crew who are climbing with tourists; more plantation of tress surrounding mount Kilimanjaro; more control in natural forest of human activities,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
119,50,Red,53,Desert / ice,Alpine - Ice,Rock and ice,Alpine,Moderate,Water on the base of the mountain,Decreased,Deteriorated,Less,Less,Less,Less,Less,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Population; too many people; deforestation,Decrease,Deteriorate,Yes,"Planting trees, we must save the land and nature",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,51,Red,9,Moorland / shrub,Alpine - Shrub,Shrubland,Alpine,Moderate,"For tourism as it is a very different habitat than all other areas, an average tourist gets to visit (Serengeti, Tarangire, etc). We drive photo tourists to Shira Plateau for a day hike to experience this part of Kilimanjaro",Not changed,Not changed,Less,No change,No change,No change,No change,No change,No change,No change,No answer,Not changed,Not changed,Decreased,Not changed,Poaching; disappearance of wildlife corridors; melting of glaciers,Decrease,Mixed,Yes,Wildlife protection,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,52,Yellow,78,Lowland forest reserve (Rau),Forest - Lowland,Forest,Forest,High,Water catchment for irrigation; beekeeping activities; Ecotourism,Not changed,Improved,No change,No change,No change,No change,No change,No change,No change,No change,No change,Improved,Not changed,Decreased,Deteriorated,Increament of settlement areas; Application of chemicals in the farms; Forest enchroachment; Deforetation by the activities,Decrease,Deteriorate,Yes,Conservation education to the locals; Local empowerment,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
122,53,Yellow,70,Agriculture,Forest,Forest,Forest,Moderate,No clear answer,Increased,Improved,Less,More,More,Less,More,More,More,More,More,Improved,Improved,Decreased,Improved,"Restricted activities on mountain slopes; minimized timber harvesting, hunting permits, water rights; increased tree planting efforts",Decrease,Deteriorate,Yes,Stop trees harvesting; stop harvesting near the rivers; establish tree nurseries; environmental education,Goverment to be strict on conservation of forest and conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
123,54,Yellow,68,Water bodies,Freshwater,Freshwater,Freshwater,High,Most water users located downstream stream; increased downstream water use conflicts; poor technologies,Increased,Improved,Less,More,Less,More,More,More,Less,Less,More,Improved,Deteriorated,Decreased,Improved,Increased knowledge on climate change;Knowledge on agriculture technologies including irrigation; increased awareness to the water users,Increase,Deteriorate,Yes,Intergrated water resources management; awareness creation; tree planting by all water users; conflict management through stakeholders engagement,Taking on board ideas of water users; construction of water storage eg. Dams,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
124,55,Yellow,67,River system (mid stream),Freshwater - Rivers - Mid elevation,Freshwater,Freshwater,High,It is determinant of water availability in the downstream; High population,Decreased,Deteriorated,Less,Less,Less,No answer,No answer,Less,Less,Less,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Increased pressure on water resources; Soil erosion practices; over abstraction of water with mobile pumping; excessive use of agro-chemicals,Decrease,Deteriorate,Yes,Improve soil water conservation; awareness raising,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
125,56,Yellow,67,River system (upstream),Freshwater - Rivers - Highland,Freshwater,Freshwater,High,These are important catchment areas,Decreased,Deteriorated,Less,No answer,No answer,No answer,No answer,Less,No answer,No answer,Less,Not changed,Deteriorated,Decreased,Not changed,Deforestation;Increased human settlements and activities,Decrease,Deteriorate,Yes,Enacting laws and by-laws that reflect the reality,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,57,Yellow,67,River System (downstream) ,Freshwater - Rivers - Lowland,Freshwater,Freshwater,Low,Support social and economic engagements,Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,Less,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Degradation of upstream habitat,Decrease,Deteriorate,Yes,Conservation and protection of upland habitat (involving reforestation as well  as control of illegal water harvesting); involve private sector in conserving the upstream and middle stream ,Some of downstream habitats are being completely damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
127,58,Yellow,63,Forest,Forest,Forest,Forest,High,Water catchment areas; Natural forest areas; Fresh air sources; Sources of medicines; prevents soil erosion,Decreased,Deteriorated,Less,Less,Less,No answer,More,Less,More,Less,No change,Deteriorated,Improved,Not changed,Deteriorated,Defforestation which has caused increased drought; Poverty,Decrease,Improve,Yes,Raise awareness to people on the importance of aforestation;Employment provision to help people reduce dependence to the forest cutting business,Improve people's understanding on the importance of forests,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
128,59,Yellow,62,Water bodies,Freshwater,Freshwater,Freshwater,High,Water bodies do sustain life; Catalysts of socio-economic development as well as environmental sustainability,Decreased,Deteriorated,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Decreased,Deteriorated,Water bodies depend on rainfall which has fluctuatingdistribution at the moment; Increased population causes scrumble of the available water resources; Increased water resource use among users,Decrease,Deteriorate,Yes,Holistic approach of water resources management is key; Encourage stakeholdersto join efforts ,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,60,Yellow,56,Forest,Forest,Forest,Forest,High,"It moderates climate; Source of energy, food, and medicine; source of timber for building and furniture; increases soil fertility; wind break; catchment areas; source of oxygen",Not changed,Improved,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Deteriorated,Deteriorated,Decreased,Deteriorated,Population increase has caused pressure on land; Deforestation for agriculture and settlement develpmnt,Decrease,Deteriorate,Yes,Conservation education to the locals; Sensitization seminars on alternative energy sources; tree planting campaigns; ,NA,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
130,61,Yellow,51,Forest,Forest - montane,Forest,Forest,High,Habitat protection which eventually protects healthy biodiversity; maintains water bodies; Offers an opportunity for research; income generation through tourism,Decreased,Deteriorated,Less,Less,No change,Less,No change,Less,No change,No change,No answer,Not changed,Deteriorated,Decreased,Deteriorated,Climate change;Overgrazing; poor farming practices; political interventions; inefficient patrols;little tree planting programs in the adjacent communities,Decrease,Deteriorate,Yes,Facilitate patrolling vehicles; Afforestation campaigns;Extension services to encourage good agriculture practices,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
